outcome_id,study_id,population_id,contrast_id,condition_id,timing_level,modifier,analyte,domain,metric,auc_definition,window_min,timepoint_min,result_form,n,value,dispersion_type,dispersion_value,ci_low,ci_high,p_value,units_original,direction,comparator,data_status,source_provenance,notes
O0193,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_SD,Stutz_2024_early_evening,later,early chronotype,glucose,glycemic_variability,24-h SD,,1440,,condition_summary,22,0.92,SD,0.21,,,,percent ratio difference,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0194,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_SD,,,early chronotype,glucose,glycemic_variability,24-h SD model contrast,,1440,,model_contrast,22,16,95% CI,,7,24,0.001,percent ratio difference,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,Reported as percent ratio difference.
O0195,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_MAGE,Stutz_2024_early_morning,earlier,early chronotype,glucose,glycemic_variability,24-h MAGE,,1440,,condition_summary,22,2.25,IQR,IQR 1.74–2.46,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0196,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_MAGE,Stutz_2024_early_evening,later,early chronotype,glucose,glycemic_variability,24-h MAGE,,1440,,condition_summary,22,2.17,IQR,IQR 1.88–2.65,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0197,Stutz_2024,Stutz_2024_early,Stutz_early_24-h_MAGE,,,early chronotype,glucose,glycemic_variability,24-h MAGE model contrast,,1440,,model_contrast,22,0.17,95% CI,,-0.12,0.45,0.233,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0198,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_iAUC,Stutz_2024_late_morning,earlier,late chronotype,glucose,glucose_auc,2-h iAUC,incremental,120,,condition_summary,23,211,SD,110,,,,mmol/L×min,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0199,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_iAUC,Stutz_2024_late_evening,later,late chronotype,glucose,glucose_auc,2-h iAUC,incremental,120,,condition_summary,23,207,SD,95,,,,mmol/L×min,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0200,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_iAUC,,,late chronotype,glucose,glucose_auc,2-h iAUC model contrast,incremental,120,,model_contrast,23,-4,95% CI,,-55,48,0.888,mmol/L×min,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0201,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_mean,Stutz_2024_late_morning,earlier,late chronotype,glucose,cgm_postprandial,2-h mean,,120,,condition_summary,23,7.12,SD,1.04,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0202,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_mean,Stutz_2024_late_evening,later,late chronotype,glucose,cgm_postprandial,2-h mean,,120,,condition_summary,23,7.28,SD,0.68,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0203,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_mean,,,late chronotype,glucose,cgm_postprandial,2-h mean model contrast,,120,,model_contrast,23,0.16,95% CI,,-0.2,0.53,0.362,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0204,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_highest,Stutz_2024_late_morning,earlier,late chronotype,glucose,peak_glucose,2-h highest,,120,,condition_summary,23,9.67,SD,1.58,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0205,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_highest,Stutz_2024_late_evening,later,late chronotype,glucose,peak_glucose,2-h highest,,120,,condition_summary,23,9.39,SD,1.17,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0206,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_highest,,,late chronotype,glucose,peak_glucose,2-h highest model contrast,,120,,model_contrast,23,-0.28,95% CI,,-0.92,0.35,0.365,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0207,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_lowest,Stutz_2024_late_morning,earlier,late chronotype,glucose,cgm_postprandial,2-h lowest,,120,,condition_summary,23,5,SD,0.61,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0208,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_lowest,Stutz_2024_late_evening,later,late chronotype,glucose,cgm_postprandial,2-h lowest,,120,,condition_summary,23,5.33,SD,0.53,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0209,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_lowest,,,late chronotype,glucose,cgm_postprandial,2-h lowest model contrast,,120,,model_contrast,23,0.32,95% CI,,0.05,0.59,0.024,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0210,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_SD,Stutz_2024_late_morning,earlier,late chronotype,glucose,glycemic_variability,2-h SD,,120,,condition_summary,23,1.52,SD,0.51,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0211,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_SD,Stutz_2024_late_evening,later,late chronotype,glucose,glycemic_variability,2-h SD,,120,,condition_summary,23,1.3,SD,0.41,,,,mmol/L,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0212,Stutz_2024,Stutz_2024_late,Stutz_late_2-h_SD,,,late chronotype,glucose,glycemic_variability,2-h SD model contrast,,120,,model_contrast,23,-0.21,95% CI,,-0.47,0.04,0.098,mmol/L,evening minus morning,,reported_table,Stutz_2024; PDF p7; Table 2,
O0213,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_iAUC,Stutz_2024_late_morning,earlier,late chronotype,glucose,glucose_auc,24-h iAUC,incremental,1440,,condition_summary,23,962,SD,368,,,,mmol/L×min,,,reported_table,Stutz_2024; PDF p7; Table 2,
O0214,Stutz_2024,Stutz_2024_late,Stutz_late_24-h_iAUC,Stutz_2024_late_evening,later,late chronotype,glucose,glucose_auc,24-h iAUC,incremental,1440,,condition_summary,23,987,SD,352,,,,mmol/L×min,,,reported_table,Stutz_2024; PDF p7; Table 2,
