outcome_id,study_id,population_id,contrast_id,condition_id,timing_level,modifier,analyte,domain,metric,auc_definition,window_min,timepoint_min,result_form,n,value,dispersion_type,dispersion_value,ci_low,ci_high,p_value,units_original,direction,comparator,data_status,source_provenance,notes
O0014,Enomoto_2026,Enomoto_2026_all,Enomoto_day2,Enomoto_5h,earlier,day 2,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,6006.92,SD,2524.4,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0015,Enomoto_2026,Enomoto_2026_all,Enomoto_day2,Enomoto_1h,later,day 2,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,6605.77,SD,1754.07,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0016,Enomoto_2026,Enomoto_2026_all,Enomoto_day3,Enomoto_5h,earlier,day 3,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,6310.38,SD,2586.74,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0017,Enomoto_2026,Enomoto_2026_all,Enomoto_day3,Enomoto_1h,later,day 3,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,5102.31,SD,1348.26,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0018,Enomoto_2026,Enomoto_2026_all,Enomoto_day4,Enomoto_5h,earlier,day 4,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,5158.85,SD,3014.37,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0019,Enomoto_2026,Enomoto_2026_all,Enomoto_day4,Enomoto_1h,later,day 4,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,5101.15,SD,1477.88,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0020,Enomoto_2026,Enomoto_2026_all,Enomoto_nextday_OGTT,Enomoto_5h,earlier,next-day OGTT,glucose,glucose_auc,OGTT iAUC,incremental,,,condition_summary,13,7879.5,SD,3203.47,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p8; Table 4,Next-day supportive outcome; p=0.263.
O0021,Enomoto_2026,Enomoto_2026_all,Enomoto_nextday_OGTT,Enomoto_1h,later,next-day OGTT,glucose,glucose_auc,OGTT iAUC,incremental,,,condition_summary,13,6844.5,SD,1746.23,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p8; Table 4,Next-day supportive outcome; p=0.263.
O0260,Enomoto_2026,Enomoto_2026_all,Enomoto_day1,,,day 1,glucose,cgm_postprandial,dinner glucose iAUC paired difference,incremental,180,,within_person_contrast,13,1550.76923,SD (paired difference),2277.37133,174.56751,2926.97095,0.03,mg/dL×min,1 h before bedtime minus 5 h before bedtime,,author_provided,"Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","Author-provided paired t-test: SE=631.62916; t=2.455; df=12. Day 2 is primary; Days 1, 3, and 4 are sensitivity analyses."
O0261,Enomoto_2026,Enomoto_2026_all,Enomoto_day2,,,day 2,glucose,cgm_postprandial,dinner glucose iAUC paired difference,incremental,180,,within_person_contrast,13,598.84615,SD (paired difference),2662.0842,-1009.83523,2207.52754,0.433,mg/dL×min,1 h before bedtime minus 5 h before bedtime,,author_provided,"Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","Author-provided paired t-test: SE=738.32932; t=0.811; df=12. Day 2 is primary; Days 1, 3, and 4 are sensitivity analyses."
O0262,Enomoto_2026,Enomoto_2026_all,Enomoto_day3,,,day 3,glucose,cgm_postprandial,dinner glucose iAUC paired difference,incremental,180,,within_person_contrast,13,-1208.07692,SD (paired difference),2318.52821,-2609.1495,192.99565,0.085,mg/dL×min,1 h before bedtime minus 5 h before bedtime,,author_provided,"Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","Author-provided paired t-test: SE=643.04403; t=-1.879; df=12. Day 2 is primary; Days 1, 3, and 4 are sensitivity analyses."
O0263,Enomoto_2026,Enomoto_2026_all,Enomoto_day4,,,day 4,glucose,cgm_postprandial,dinner glucose iAUC paired difference,incremental,180,,within_person_contrast,13,-57.69231,SD (paired difference),3265.46616,-2030.99376,1915.60914,0.95,mg/dL×min,1 h before bedtime minus 5 h before bedtime,,author_provided,"Enomoto author-supplied aggregate statistics, 2026-08-31; meta_analysis/data/author_provided/Enomoto_2026/ttest_iAUC_1h5h.csv","Author-provided paired t-test: SE=905.67736; t=-0.064; df=12. Day 2 is primary; Days 1, 3, and 4 are sensitivity analyses."
O0022,Garaulet_2022,Garaulet_2022_all,Garaulet_OGTT,Garaulet_early,earlier,,glucose,glucose_auc,120-min glucose AUC,incremental,120,,condition_summary,845,276,SEM,1.5,,,,mg×h/dL,,,graph_digitized,Garaulet_2022; PDF p3; Figure 1B,Approximate bar/SEM digitization; values rounded to graph resolution.
O0023,Garaulet_2022,Garaulet_2022_all,Garaulet_OGTT,Garaulet_late,later,,glucose,glucose_auc,120-min glucose AUC,incremental,120,,condition_summary,845,299,SEM,1.5,,,,mg×h/dL,,,graph_digitized,Garaulet_2022; PDF p3; Figure 1B,Approximate bar/SEM digitization; values rounded to graph resolution.
O0024,Garaulet_2022,Garaulet_2022_all,Garaulet_OGTT,Garaulet_early,earlier,,insulin,insulin_auc,120-min insulin AUC,incremental,120,,condition_summary,845,98,SEM,1.8,,,,µU×h/mL,,,graph_digitized,Garaulet_2022; PDF p3; Figure 1D,Approximate bar/SEM digitization; values rounded to graph resolution.
O0025,Garaulet_2022,Garaulet_2022_all,Garaulet_OGTT,Garaulet_late,later,,insulin,insulin_auc,120-min insulin AUC,incremental,120,,condition_summary,845,91.5,SEM,1.8,,,,µU×h/mL,,,graph_digitized,Garaulet_2022; PDF p3; Figure 1D,Approximate bar/SEM digitization; values rounded to graph resolution.
O0026,Garaulet_2022,Garaulet_2022_all,Garaulet_OGTT,,,,glucose,glucose_auc,relative difference,incremental,120,,within_person_contrast,845,8.3,,,,,<0.0001,percent,late versus early,,reported_text,Garaulet_2022; PDF p4; Results,
O0027,Garaulet_2022,Garaulet_2022_all,Garaulet_OGTT,,,,insulin,insulin_auc,relative difference,incremental,120,,within_person_contrast,845,-6.7,,,,,<0.0001,percent,late versus early,,reported_text,Garaulet_2022; PDF p4; Results,
O0028,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_AM,earlier,low GI,glucose,glucose_auc,glucose iAUC,incremental,120,,condition_summary,10,142,SEM,26,,,,mmol/L·h (as printed),,,reported_table,Gibbs_2014; PDF p4; Figure 2,Unit label/scale requires QA.
O0029,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_AM,earlier,low GI,glucose,peak_glucose,peak glucose,,,,condition_summary,10,7.83,SEM,0.42,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0030,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_AM,earlier,low GI,glucose,timed_glucose,glucose at 120 min,,,120,condition_summary,10,4.92,SEM,0.29,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0031,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_AM,earlier,low GI,insulin,insulin_auc,insulin iAUC,incremental,120,,condition_summary,9,1356,SEM,410,,,,pmol/L·h,,,reported_table,Gibbs_2014; PDF p4; Figure 2,
O0032,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_PM,later,low GI,glucose,glucose_auc,glucose iAUC,incremental,120,,condition_summary,10,309,SEM,26,,,,mmol/L·h (as printed),,,reported_table,Gibbs_2014; PDF p4; Figure 2,Unit label/scale requires QA.
O0033,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_PM,later,low GI,glucose,peak_glucose,peak glucose,,,,condition_summary,10,8.3,SEM,0.22,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0034,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_PM,later,low GI,glucose,timed_glucose,glucose at 120 min,,,120,condition_summary,10,6.74,SEM,0.3,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0035,Gibbs_2014,Gibbs_2014_all,Gibbs_low,Gibbs_low_PM,later,low GI,insulin,insulin_auc,insulin iAUC,incremental,120,,condition_summary,9,1077,SEM,616,,,,pmol/L·h,,,reported_table,Gibbs_2014; PDF p4; Figure 2,
O0036,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_AM,earlier,high GI,glucose,glucose_auc,glucose iAUC,incremental,120,,condition_summary,10,218,SEM,33,,,,mmol/L·h (as printed),,,reported_table,Gibbs_2014; PDF p4; Figure 2,Unit label/scale requires QA.
O0037,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_AM,earlier,high GI,glucose,peak_glucose,peak glucose,,,,condition_summary,10,7.8,SEM,0.48,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0038,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_AM,earlier,high GI,glucose,timed_glucose,glucose at 120 min,,,120,condition_summary,10,4.83,SEM,0.24,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0039,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_AM,earlier,high GI,insulin,insulin_auc,insulin iAUC,incremental,120,,condition_summary,9,1159,SEM,654,,,,pmol/L·h,,,reported_table,Gibbs_2014; PDF p4; Figure 2,
O0040,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_PM,later,high GI,glucose,glucose_auc,glucose iAUC,incremental,120,,condition_summary,10,351,SEM,44,,,,mmol/L·h (as printed),,,reported_table,Gibbs_2014; PDF p4; Figure 2,Unit label/scale requires QA.
O0041,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_PM,later,high GI,glucose,peak_glucose,peak glucose,,,,condition_summary,10,9.54,SEM,0.42,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0042,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_PM,later,high GI,glucose,timed_glucose,glucose at 120 min,,,120,condition_summary,10,6.11,SEM,0.59,,,,mmol/L,,,reported_table,Gibbs_2014; PDF p3; Table 2,
O0043,Gibbs_2014,Gibbs_2014_all,Gibbs_high,Gibbs_high_PM,later,high GI,insulin,insulin_auc,insulin iAUC,incremental,120,,condition_summary,9,1236,SEM,348,,,,pmol/L·h,,,reported_table,Gibbs_2014; PDF p4; Figure 2,
O0044,Gu_2020,Gu_2020_all,Gu_dinner,Gu_routine,earlier,,glucose,glucose_auc,4-h glucose AUC,total,240,,condition_summary,20,443.3,SEM,12.4,,,,mg/dL×h,,,reported_table,Gu_2020; PDF p5; Results,
O0045,Gu_2020,Gu_2020_all,Gu_dinner,Gu_late,later,,glucose,glucose_auc,4-h glucose AUC,total,240,,condition_summary,20,522.3,SEM,13.4,,,,mg/dL×h,,,reported_table,Gu_2020; PDF p5; Results,
O0046,Gu_2020,Gu_2020_all,Gu_dinner,Gu_routine,earlier,,glucose,peak_glucose,peak glucose,,,,condition_summary,20,127,SEM,4.5,,,,mg/dL,,,reported_table,Gu_2020; PDF p5; Results,
O0047,Gu_2020,Gu_2020_all,Gu_dinner,Gu_late,later,,glucose,peak_glucose,peak glucose,,,,condition_summary,20,150.3,SEM,5.6,,,,mg/dL,,,reported_table,Gu_2020; PDF p5; Results,
O0048,Gu_2020,Gu_2020_all,Gu_dinner,,,,glucose,glucose_auc,adjusted mean difference,total,240,,model_contrast,20,88.8,95% CI,,70.3,107.3,<0.001,mg/dL×h,late minus routine,,reported_table,Gu_2020; PDF p5; Results,
O0049,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_breakfast,earlier,high GI,glucose,glucose_auc,test-meal glucose iAUC,incremental,180,,condition_summary,34,481.99,SD,192.5,,,,not explicitly printed; likely mmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0050,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_breakfast,earlier,high GI,insulin,insulin_auc,test-meal insulin iAUC,incremental,180,,condition_summary,34,5643.62,SD,3093.41,,,,not explicitly printed; likely pmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0051,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_breakfast,earlier,high GI,glucose,glucose_auc,combined-meal glucose tAUC,total,,,condition_summary,34,2493.32,SD,334.44,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0052,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_breakfast,earlier,high GI,insulin,insulin_auc,combined-meal insulin tAUC,total,,,condition_summary,34,11425.73,SD,6261.91,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0053,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_breakfast,earlier,low GI,glucose,glucose_auc,test-meal glucose iAUC,incremental,180,,condition_summary,34,378.64,SD,158.75,,,,not explicitly printed; likely mmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0054,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_breakfast,earlier,low GI,insulin,insulin_auc,test-meal insulin iAUC,incremental,180,,condition_summary,34,3269.08,SD,2073.61,,,,not explicitly printed; likely pmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0055,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_breakfast,earlier,low GI,glucose,glucose_auc,combined-meal glucose tAUC,total,,,condition_summary,34,2423.7,SD,328.43,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0056,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_breakfast,earlier,low GI,insulin,insulin_auc,combined-meal insulin tAUC,total,,,condition_summary,34,9516.74,SD,4963.53,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0057,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_dinner,later,high GI,glucose,glucose_auc,test-meal glucose iAUC,incremental,180,,condition_summary,34,766.4,SD,320.61,,,,not explicitly printed; likely mmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0058,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_dinner,later,high GI,insulin,insulin_auc,test-meal insulin iAUC,incremental,180,,condition_summary,34,6864.29,SD,3714.81,,,,not explicitly printed; likely pmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0059,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_dinner,later,high GI,glucose,glucose_auc,combined-meal glucose tAUC,total,,,condition_summary,34,2901.62,SD,442.64,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0060,Haldar_2020,Haldar_2020_all,Haldar_high,Haldar_high_dinner,later,high GI,insulin,insulin_auc,combined-meal insulin tAUC,total,,,condition_summary,34,13775.94,SD,6962.72,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0061,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_dinner,later,low GI,glucose,glucose_auc,test-meal glucose iAUC,incremental,180,,condition_summary,34,585.74,SD,215.5,,,,not explicitly printed; likely mmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0062,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_dinner,later,low GI,insulin,insulin_auc,test-meal insulin iAUC,incremental,180,,condition_summary,34,3692.37,SD,2039.35,,,,not explicitly printed; likely pmol/L×min,,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Unit inference flagged.
O0063,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_dinner,later,low GI,glucose,glucose_auc,combined-meal glucose tAUC,total,,,condition_summary,34,2609.02,SD,306.35,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0064,Haldar_2020,Haldar_2020_all,Haldar_low,Haldar_low_dinner,later,low GI,insulin,insulin_auc,combined-meal insulin tAUC,total,,,condition_summary,34,10126.83,SD,4127.53,,,,not explicitly printed,,,reported_table,Haldar_2020_primary; PDF p7; Table 3,
O0065,Haldar_2020,Haldar_2020_all,Haldar_high,,,high GI,glucose,glucose_auc,model timing contrast,incremental,180,,model_contrast,34,284.4,,,,,<0.0001,as Table 2,dinner minus breakfast,,reported_table,Haldar_2020_primary; PDF p6; Table 2,
O0066,Haldar_2020,Haldar_2020_all,Haldar_high,,,high GI,insulin,insulin_auc,model timing contrast,incremental,180,,model_contrast,34,1220.67,,,,,<0.05,as Table 2,dinner minus breakfast,,reported_table,Haldar_2020_primary; PDF p6; Table 2,
O0067,Haldar_2020,Haldar_2020_all,Haldar_low,,,low GI,glucose,glucose_auc,model timing contrast,incremental,180,,model_contrast,34,207.1,,,,,<0.0001,as Table 2,dinner minus breakfast,,reported_table,Haldar_2020_primary; PDF p6; Table 2,
O0068,Haldar_2020,Haldar_2020_all,Haldar_low,,,low GI,insulin,insulin_auc,model timing contrast,incremental,180,,model_contrast,34,511.24,,,,,0.3481,as Table 2,dinner minus breakfast,,reported_table,Haldar_2020_primary; PDF p6; Table 2,
O0259,Haldar_2020,Haldar_2020_all,Haldar_overall_daypart,,,GI conditions combined,glucose,glucose_auc,overall model timing contrast,incremental,180,,model_contrast,34,245.75,,,,,<0.0001,as Table 2,dinner minus breakfast,,reported_table,Haldar_2020_primary; PDF p6; Table 2,Published Di vs Br (overall) contrast from the 2×2 linear mixed model.
O0069,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,glucose,timed_glucose,plasma glucose,,,0,condition_summary,24,76.86,SEM,1.77,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0070,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,glucose,timed_glucose,plasma glucose,,,30,condition_summary,24,127,SEM,5.17,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0071,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,glucose,timed_glucose,plasma glucose,,,60,condition_summary,24,159.62,SEM,7.15,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0072,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,glucose,timed_glucose,plasma glucose,,,90,condition_summary,24,155.81,SEM,9.55,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0073,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,glucose,timed_glucose,plasma glucose,,,120,condition_summary,24,126.1,SEM,8.99,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0074,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,glucose,timed_glucose,plasma glucose,,,0,condition_summary,24,82.17,SEM,2.4,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0075,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,glucose,timed_glucose,plasma glucose,,,30,condition_summary,24,131.22,SEM,4.86,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0076,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,glucose,timed_glucose,plasma glucose,,,60,condition_summary,24,159.39,SEM,6.29,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0077,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,glucose,timed_glucose,plasma glucose,,,90,condition_summary,24,151.09,SEM,7.73,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0078,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,glucose,timed_glucose,plasma glucose,,,120,condition_summary,24,121.52,SEM,8.12,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0079,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,glucose,timed_glucose,plasma glucose,,,0,condition_summary,24,75.29,SEM,1.52,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0080,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,glucose,timed_glucose,plasma glucose,,,30,condition_summary,24,125.71,SEM,3.05,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0081,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,glucose,timed_glucose,plasma glucose,,,60,condition_summary,24,129.13,SEM,6.73,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0082,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,glucose,timed_glucose,plasma glucose,,,90,condition_summary,24,108.5,SEM,6.08,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0083,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,glucose,timed_glucose,plasma glucose,,,120,condition_summary,24,84.67,SEM,5.35,,,,mg/100 mL,,,reported_table,Jarrett_1972; PDF p2; Table II,
O0084,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,insulin,timed_insulin,plasma insulin,,,0,condition_summary,20,9,SEM,1.09,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0085,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,insulin,timed_insulin,plasma insulin,,,30,condition_summary,18,17.5,SEM,2.34,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0086,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,insulin,timed_insulin,plasma insulin,,,60,condition_summary,19,23.63,SEM,3.05,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0087,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,insulin,timed_insulin,plasma insulin,,,90,condition_summary,19,28.26,SEM,6.62,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0088,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_15,later,,insulin,timed_insulin,plasma insulin,,,120,condition_summary,19,25.68,SEM,7.72,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0089,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,insulin,timed_insulin,plasma insulin,,,0,condition_summary,21,8.14,SEM,1.48,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0090,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,insulin,timed_insulin,plasma insulin,,,30,condition_summary,21,17.29,SEM,2.33,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0091,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,insulin,timed_insulin,plasma insulin,,,60,condition_summary,23,24.09,SEM,4.14,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0092,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,insulin,timed_insulin,plasma insulin,,,90,condition_summary,20,18.4,SEM,2.66,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0093,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_20,later,,insulin,timed_insulin,plasma insulin,,,120,condition_summary,22,17.64,SEM,5.68,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0094,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,insulin,timed_insulin,plasma insulin,,,0,condition_summary,22,8.18,SEM,1.15,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0095,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,insulin,timed_insulin,plasma insulin,,,30,condition_summary,20,30,SEM,5.45,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0096,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,insulin,timed_insulin,plasma insulin,,,60,condition_summary,22,33.05,SEM,7,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0097,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,insulin,timed_insulin,plasma insulin,,,90,condition_summary,19,33.47,SEM,7.52,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0098,Jarrett_1972,Jarrett_1972_all,Jarrett_daypart,Jarrett_09,earlier,,insulin,timed_insulin,plasma insulin,,,120,condition_summary,22,16.77,SEM,3.74,,,,U/mL (as printed),,,reported_table,Jarrett_1972; PDF p3; Table III,
O0099,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_all,Lopez_early,earlier,all,glucose,glucose_auc,glucose AUC,reported AUC,120,,condition_summary,40,269.61,SD,34.8,,,,mmol/L×h (as printed),,,reported_table,Lopez_Minguez_2018; PDF p6; Results/Table,
O0100,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_all,Lopez_late,later,all,glucose,glucose_auc,glucose AUC,reported AUC,120,,condition_summary,40,284.74,SD,32.67,,,,mmol/L×h (as printed),,,reported_table,Lopez_Minguez_2018; PDF p6; Results/Table,
O0101,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_all,,,all,glucose,glucose_auc,mean difference,reported AUC,120,,within_person_contrast,40,15.129999999999995,,,,,0.004,mmol/L×h (as printed),late minus early,,derived,Lopez_Minguez_2018; PDF p6; Results,Paired SE derived separately from exact p; unit label requires QA.
O0102,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_GG,Lopez_early,earlier,GG,glucose,glucose_auc,glucose AUC,reported AUC,120,,condition_summary,20,270.9,SD,30.4,,,,mmol/L×h (as printed),,,reported_table,Lopez_Minguez_2018; PDF p6; Results/Table,
O0103,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_GG,Lopez_late,later,GG,glucose,glucose_auc,glucose AUC,reported AUC,120,,condition_summary,20,292.2,SD,33.8,,,,mmol/L×h (as printed),,,reported_table,Lopez_Minguez_2018; PDF p6; Results/Table,
O0104,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_GG,,,GG,glucose,glucose_auc,mean difference,reported AUC,120,,within_person_contrast,20,21.30000000000001,,,,,0.006,mmol/L×h (as printed),late minus early,,reported_text,Lopez_Minguez_2018; PDF p6; Results,No paired precision derived for subgroup.
O0105,Lopez_Minguez_2018,Lopez_Minguez_2018_all,Lopez_CC,Lopez_early,earlier,CC,glucose,glucose_auc,glucose AUC,reported AUC,120,,condition_summary,20,268.2,SD,38.2,,,,mmol/L×h (as printed),,,reported_table,Lopez_Minguez_2018; PDF p6; Results/Table,
